"SampleID","DNAmAge","Comment","noMissingPerSample","meanMethBySample","minMethBySample","maxMethBySample","predictedGender","meanXchromosome"
"GSM2818018_3999337027_R01C01",58.3393550921783,"",0,0.263148128215269,0.0136398923129707,0.984432547413582,"male",0.379063676887142
"GSM2818020_3999337027_R02C01",53.2502109935208,"",0,0.263833261733392,0.0115187733289158,0.985477050149548,"male",0.302189429681375
"GSM2818022_3999337027_R03C01",52.9218095264216,"",0,0.261685335204777,0.0111391585979211,0.986903584830633,"female",0.404417898048762
"GSM2818024_3999337027_R04C01",51.6476564296598,"",0,0.256802461622769,0.0116327341208493,0.984739465896408,"Unsure",0.390651817315954
"GSM2818026_3999337027_R05C01",41.7416750998648,"",0,0.261407376436283,0.0114684767542114,0.985812166372262,"male",0.30027420440196
"GSM2818028_3999337027_R06C01",41.1874936350346,"",0,0.251961493473957,0.00824568752969639,0.986057379207601,"male",0.291803464269823
"GSM2818030_3999337016_R01C01",66.4264772450173,"",0,0.258763946266395,0.0101037005467616,0.986626956276111,"male",0.299346503785247
"GSM2818032_3999337016_R02C01",48.9505520484987,"",0,0.257826030915157,0.0115050035936854,0.98377771028264,"male",0.377133366631139
"GSM2818034_3999337016_R03C01",41.0242207041914,"",0,0.257181872723697,0.0113085089144993,0.986123727438166,"male",0.36713151481696
"GSM2818036_3999337016_R04C01",53.5580009210533," Warning: meanMethBySample is <0.25",0,0.249698168858554,0.00936072548013967,0.987123482769047,"male",0.369788938304493
"GSM2818038_3999337016_R05C01",53.3922599508507," Warning: meanMethBySample is <0.25",0,0.246990739785043,0.00936322179828169,0.981381897072176,"male",0.291180496454051
"GSM2818040_3999337016_R06C01",51.8783883904017," Warning: meanMethBySample is <0.25",0,0.245815462664315,0.00606328037517656,0.988072441945236,"male",0.292745832316318
"GSM2818042_3999337056_R01C01",48.4954568354205,"",0,0.254059359177869,0.0106118902701336,0.982724395135533,"male",0.378253362007604
"GSM2818044_3999337056_R02C01",61.0666570650451," Warning: meanMethBySample is <0.25",0,0.247669696672919,0.00886849229773219,0.987359968085142,"male",0.36453475072564
"GSM2818046_3999337056_R03C01",64.3393547750965,"",0,0.252667638703695,0.0111629904181295,0.985518230773997,"male",0.374982342397846
"GSM2818048_3999337056_R04C01",65.0963632414366,"",0,0.252630004204984,0.00987439954154145,0.98431000891895,"male",0.293433000855971
"GSM2818050_3999337056_R05C01",55.0009625704278,"",0,0.255491846862989,0.0094916879539102,0.986665886418414,"male",0.296015605208764
"GSM2818052_3999337056_R06C01",53.0179555979493,"",0,0.253453667580674,0.00879409065255178,0.986064002166502,"male",0.295756151229586
"GSM2818054_3999337055_R01C01",57.9732908423795,"",0,0.250693108055205,0.00925175913277837,0.983880038756402,"male",0.370540736967769
"GSM2818056_3999337055_R02C01",41.7225582024148,"",0,0.252064770030218,0.0101985178521211,0.984626790150787,"male",0.367772083603181
"GSM2818058_3999337055_R03C01",58.5292867816803,"",0,0.256608174552918,0.0101771458251104,0.9858354299799,"Unsure",0.381610225139734
"GSM2818060_3999337055_R04C01",49.6432844400406,"",0,0.254974910806606,0.0100183164293566,0.98484340814911,"male",0.297137727919403
"GSM2818062_3999337055_R05C01",61.7688473598701,"",0,0.254987801337893,0.00927036217570944,0.983484475341638,"male",0.296100726109245
"GSM2818064_3999337055_R06C01",44.7920542349068,"",0,0.250643375066038,0.00932949282755819,0.985238367436094,"male",0.293516523795528
"GSM2818066_3999492090_R01C01",53.6209824740251,"",0,0.255330583455492,0.010688074127784,0.984335691252474,"male",0.37605321998219
"GSM2818068_3999492090_R02C01",56.0897218858621,"",0,0.254522569290306,0.0105955699657681,0.982227995355918,"male",0.37311354021403
"GSM2818070_3999492090_R03C01",66.3529730805978,"",0,0.256946586156944,0.0103086112894637,0.98477272399219,"male",0.299336682477777
"GSM2818072_3999492090_R04C01",48.8561421759264,"",0,0.251599613294847,0.00888516347648789,0.985047150973242,"Unsure",0.393818505339444
"GSM2818074_3999492090_R05C01",45.7952715339305,"",0,0.251052366400533,0.0090588692759196,0.986014725189121,"male",0.294045491446678
"GSM2818076_3999492090_R06C01",57.5971846939845,"",0,0.254086674400265,0.00814924532532406,0.985776683692251,"male",0.294628183168065
"GSM2818078_3999492111_R01C01",56.6272231525759,"",0,0.25463623724885,0.0107857265433091,0.983601139512703,"Unsure",0.382673038024628
"GSM2818080_3999492111_R02C01",49.5692126438414,"",0,0.253932009514033,0.0111081012133511,0.983762871553105,"male",0.293285551199925
"GSM2818082_3999492111_R03C01",48.9573706234106,"",0,0.253903223925584,0.011473440384299,0.98426672151199,"Unsure",0.394271529482874
"GSM2818084_3999492111_R04C01",48.9141448379396,"",0,0.25158719639025,0.010038970089418,0.985905318414991,"male",0.293767050955978
"GSM2818086_3999492111_R05C01",50.0440960842952," Warning: meanMethBySample is <0.25",0,0.247388605813273,0.00865977196209862,0.981855070900246,"male",0.286063030667872
"GSM2818088_3999492111_R06C01",46.8257209465623," Warning: meanMethBySample is <0.25",0,0.248811049493926,0.00883849124510268,0.985610829432223,"male",0.367041383220489
"GSM2818090_3999492104_R01C01",50.9327364148396,"",0,0.255086776707204,0.0104578723777233,0.984754326609462,"Unsure",0.388435504937637
"GSM2818092_3999492104_R02C01",35.9596427624304,"",0,0.251417665441522,0.00986595805259308,0.982048933450797,"male",0.292942362778378
"GSM2818094_3999492104_R03C01",48.4718275800528,"",0,0.257294798815889,0.0107775364712994,0.986156177893503,"Unsure",0.394542336156853
"GSM2818096_3999492104_R04C01",60.5050312095458,"",0,0.258152431170733,0.00930826492620663,0.984663290656841,"male",0.30084344787278
"GSM2818098_3999492104_R05C01",56.6965936537224,"",0,0.256941397353758,0.00938115152957581,0.985765507806228,"Unsure",0.392689224912012
"GSM2818100_3999492104_R06C01",63.0232511977627,"",0,0.251010794827564,0.00958649513871636,0.984711509371017,"male",0.294190503211095
"GSM2818102_3999492109_R01C01",47.5753546144332," Warning: meanMethBySample is <0.25",0,0.249698283028129,0.00920598234720241,0.981213003397113,"male",0.292072625695903
"GSM2818104_3999492109_R02C01",49.0021820714115,"",0,0.253335826340557,0.00970354833101662,0.983386919437374,"male",0.378826402251527
"GSM2818106_3999492109_R03C01",50.6585486603963,"",0,0.25581627736113,0.0101970535098231,0.98325576935237,"male",0.297640753114649
