"gene"
"TSEN34"
"NPHP4"
"CDK10"
NA
"EHMT1"
"FHL2"
"ANKRD11"
"WWP2"
"EFNB1"
"ZBTB7A"
"ZNF613"
"MMACHC"
"CCDC163P"
"RFX1"
"TMEM186"
"PMM2"
"JMJD4"
"SNAP47"
"GALNT9"
"GJB6"
"AVEN"
"MAPK1"
"GADD45B"
"MTM1"
"SLC5A2"
"TBR1"
"S100A3"
"HOPX"
"LOC169834"
"TULP1"
"PLXNC1"
"CROCCL1"
"CCDC88B"
"CARKD"
"RHOD"
"TBC1D16"
"ANK3"
"STAC2"
"LOXL1"
"TSPYL3"
"ZBTB20"
"ARHGEF4"
"KRT5"
"USF2"
"DLEC1"
"FAM189A1"
"TNFSF12"
"TNFSF12-TNFSF13"
"TSPYL5"
"EVI5L"
"TSNARE1"
"CBFA2T3"
"SLA2"
"OBSL1"
"INHA"
"MICAL3"
"NOXO1"
"LOC100189589"
"KIAA0513"
"RUNX1T1"
"PWWP2B"
"KLF9"
"DNMT3A"
"GNAI2"
"CYP7B1"
"SMURF1"
"CORO7"
"TMEM200C"
"UBXN2A"
"GLRA1"
"ANP32B"
"PLXNB2"
"TNFAIP8L3"
"TPCN1"
"AP2M1"
"SLC39A4"
"IL12B"
"MTHFD1L"
"CPNE4"
"TBC1D24"
"CRAMP1L"
"CTBP1"
"SLC35B2"
"ZC3H12D"
"STRA6"
"BSN"
"EXOC3"
"RPS15"
"MAPK8IP2"
"CORO1C"
"DNAH10"
"EN2"
"SLC13A2"
"SNX29"
"IQSEC1"
"SYNPO"
"COL11A2"
"TUBB"
"PHF11"
"LEPROTL1"
"GABBR1"
"C1orf122"
"YRDC"
"SLC12A7"
"FAM193A"
"CNNM4"
"MRPL28"
"SERPINB6"
"TPMT"
"KDM1B"
"NUDT14"
"WDR73"
"RGS3"
"SLC16A8"
"SSBP3"
"SLC2A8"
"UNKL"
"KCNB2"
"PHGR1"
"TDRD10"
"SHE"
"ADAMTS13"
"IGSF3"
"KIAA1026"
"AUTS2"
"RGNEF"
"MAOB"
"PFKFB3"
"MKNK1"
"TESK2"
"STARD3"
"FAM107B"
"A2M"
"AFAP1"
"MAP2"
"SDK1"
"RPS6KA2"
"HCLS1"
"APOA1"
"MEIG1"
"GNPDA1"
"NTRK3"
"SPSB1"
"SPIRE2"
"DOK6"
"MRM1"
"CPNE2"
"PLCH2"
"C1orf86"
"MYBPHL"
"CCM2"
"THY1"
"FAM102B"
"PKN1"
"ADCY6"
"COL16A1"
"SLC35F3"
"ADD1"
"BRUNOL4"
"MAPK11"
"IGFN1"
"GNA11"
"TNXB"
"MAP7D1"
"ZC3H3"
"C20orf117"
"TRAM2"
"BRD2"
"RHOA"
"TCTA"
"CMTM5"
"BTBD11"
"PCNT"
"NOSTRIN"
"ECM1"
"MIR142"
"BDH1"
"LOC100192378"
"KLF10"
"PLXNA4"
"SSPN"
"SRL"
"C3orf67"
"DDAH1"
"DMRTA2"
"ABHD11"
"CC2D1B"
"MBP"
"LASP1"
"MAPK3"
"MFAP4"
"LOC285370"
"GFOD1"
"ITGB4"
"DSC2"
"KALRN"
"CCDC33"
"FLJ44606"
"TRIB1"
"FURIN"
"IFT140"
"SETD1A"
"FAM132A"
"CYTH3"
"TMEM132E"
"ASTN2"
"TRIM32"
"HEG1"
"RECQL5"
"LOC100130933"
"ZFPM1"
"DIO2"
"PRKAR1B"
"ABAT"
"SEMA3F"
"KCTD8"
"GHRH"
"NHSL1"
"STK32B"
"SHISA9"
"CNDP1"
"C6orf127"
"FBXL18"
"WWOX"
"IQCK"
"CPVL"
"WDR86"
"PTPRN2"
"MYT1L"
"NINJ2"
"DEF6"
"PRR7"
"MXI1"
"ANTXR1"
"PACS2"
"ZNF418"
"VARS2"
"GALNT6"
"H2AFY"
"PRSS33"
"DCLK3"
"FLJ35024"
"PLEC1"
"CELSR1"
"PVT1"
"ATP8A2"
"IRF1"
"RFTN1"
"MPZ"
"TSC2"
"BCOR"
"TNFRSF10B"
"PLSCR1"
"NLRP1"
"KIAA0556"
"CNTF"
"ZFP91-CNTF"
"TRIP13"
"SH3PXD2A"
"COX6A2"
"KIAA1949"
"RAD9B"
"VPS29"
"ZDHHC14"
"FKBP1B"
"ARHGEF10"
"MICAL2"
"ACSL1"
"SLED1"
"TXNDC11"
"DMRT2"
"CCNB1"
"DENND3"
"MARCKSL1"
"HTA"
"CRBN"
"PSMG3"
"LRRK1"
"L3MBTL2"
"AGAP3"
"SOX8"
"DFNB31"
"CHST4"
"GALNTL1"
"KLF7"
"ASPHD1"
"ATP10B"
"SNX21"
"TMEM42"
"PARD6A"
"ACD"
"BCAR1"
"CACNA1E"
"C14orf181"
"CDRT4"
"CRB1"
"C2CD4A"
"RAPGEF5"
"NEURL1B"
"KIF13B"
"C1orf59"
"TAF4"
"ATP6V1H"
"PRDM11"
"DTX1"
"CX3CL1"
"SOHLH1"
"POTEA"
"PRRT2"
"CRISPLD2"
"PTPRE"
"ZNF831"
"A2LD1"
"C1orf38"
"SLC5A11"
"HLA-E"
"B4GALT5"
"FAM53B"
"SMTN"
"GARNL3"
"ADAMTS9"
"SIPA1L3"
"EXOC4"
"CD248"
"ILVBL"
"ZNF358"
"SMYD3"
"RPL23"
"SNORA21"
"RNF220"
"ABCB10"
"DLL1"
"SPNS3"
"NCKAP1"
"COL20A1"
"LOC151162"
"MGAT5"
"MOG"
"FAM82A1"
"HIP1"
"EVC"
"HTR6"
"MYST4"
"ODZ4"
"HS3ST1"
"FAM58A"
"CCL28"
"P4HB"
"ZNF295"
"CDKN1C"
"MIR192"
"MIR194-2"
"LPPR2"
"RLBP1"
"MGC34034"
"STOX1"
"LARGE"
"LINGO3"
"RFX4"
"E2F3"
"IGSF21"
"C16orf91"
"ANTXRL"
"PDZD4"
"AOAH"
"APBA2"
"GJC2"
"GUK1"
"KIAA1609"
"ACSM3"
"KIAA0495"
"SLC2A9"
"FAM59B"
"GPR116"
"DAB2IP"
"LITAF"
"EIF2C2"
"GRK5"
"FRMD4A"
"LRP11"
"TAL1"
"ZNF592"
"ELMO3"
"E2F4"
"FAM166B"
"BFSP1"
"ALDH3B1"
"SMOC2"
"RGR"
"SFRS13B"
"AACS"
"RRBP1"
"NUAK1"
"C1orf69"
"S100A6"
"ADRA1B"
"C22orf46"
"PPFIA3"
"FEV"
"ATXN7L1"
"EFCAB10"
"ACOT7"
"ANKS1B"
"MACF1"
"SHANK3"
"MYH10"
"PGBD5"
"INSR"
"LRRC14B"
"KCNB1"
"FRK"
"BAIAP2L2"
"ELOVL3"
"THSD4"
"BIN1"
"ADAMTS10"
"KATNB1"
"GRIN2C"
"FAM120B"
"ST6GALNAC1"
"MIR1208"
"TMC8"
"TMC6"
"TFDP1"
"SHANK2"
"KLHL29"
"GALNT10"
"CAMTA1"
"SNHG3-RCC1"
"RCC1"
"TES"
"ESAM"
"HDAC4"
"INPP5A"
"LDB3"
"KIF18B"
"ZMYND10"
"STK32C"
"ADPRHL1"
"TCEA3"
"ATXN1"
"SLC38A10"
"TBX15"
"DDR1"
"TIMM44"
"CTXN1"
"HYAL2"
"CMTM4"
"ZAK"
"SORBS1"
"TAF2"
"ADAM11"
"ARRDC2"
"SF4"
"PPFIBP2"
"PSEN2"
"LOC254559"
"PSORS1C1"
"PSORS1C2"
"ARC"
"CARD11"
"TNKS1BP1"
"LOC91316"
"RGL4"
"KIF5C"
"A2BP1"
"C19orf28"
"C19orf71"
