"gene"
"ZNF77"
"IMPA2"
"PPP5C"
"ESPN"
"SPTBN4"
"OR6V1"
"BAT1"
NA
"TFAP4"
"POLE3"
"C9orf43"
"CTSB"
"FAM189A1"
"MEF2D"
"PIGQ"
"VPS18"
"AARS2"
"SNORD84"
"UBE2K"
"EFNA3"
"TTYH2"
"DCTD"
"ARFRP1"
"ZGPAT"
"ITGA8"
"CCDC90A"
"ST3GAL6"
"ERCC3"
"KLF5"
"Magmas"
"ACACA"
"TESC"
"STARD3NL"
"FOSB"
"HMGB2"
"FAM38A"
"FOXA2"
"EIF3D"
"P2RY2"
"TRIM2"
"SEC14L2"
"ARSG"
"NOP2"
"ZNF12"
"SNHG7"
"SNORA43"
"RAX"
"C4orf44"
"SHC3"
"CXXC5"
"NFATC1"
"HIST1H4F"
"CASC5"
"MAPT"
"PELI1"
"UBXN1"
"AP3S2"
"ADARB2"
"PANK1"
"SENP5"
"TUBA4A"
"TUBA4B"
"POLE"
"RPP14"
"P2RY1"
"FHIT"
"INTS6"
"TMCO3"
"AJAP1"
"PPP2R1B"
"RRP1"
"MZF1"
"LOC100131691"
"NPAS2"
"RCE1"
"C11orf80"
"CIDEA"
"ZNF879"
"TMEM82"
"GPD1L"
"TXNL4B"
"DHX38"
"SLURP1"
"FGF18"
"PRRX2"
"GRM2"
"KIAA1429"
"HDAC10"
"SIX1"
"WBSCR16"
"TUSC4"
"CYB561D2"
"ASF1B"
"ZNF438"
"KIAA0831"
"LIN54"
"KDM6A"
"NBEA"
"PGBD2"
"SEPHS1"
"GJD2"
"SOX21"
"SLC25A35"
"DCAF10"
"NEK1"
"ZNF683"
"HERC2"
"CRAMP1L"
"SPOCK3"
"PLEKHG5"
"C16orf87"
"OTUD7B"
"PCDH10"
"TOX2"
"FOXA1"
"ASPSCR1"
"RGS9"
"GMIP"
"LRRK1"
"SLC39A7"
"RXRB"
"RNFT2"
"GABRA5"
"C15orf40"
"NPY"
"PPM1F"
"DUSP10"
"MIR487B"
"MIR539"
"ZNF655"
"YJEFN3"
"ACSF3"
"SPEF1"
"COBRA1"
"C11orf49"
"DDX24"
"IFI27L1"
"BANP"
"DGKD"
"VPRBP"
"TMTC3"
"CEP290"
"HGSNAT"
"C17orf78"
"ZFYVE28"
"THOC7"
"ATXN7"
"MAD1L1"
"TLN2"
"MARCH7"
"CDS2"
"PCNA"
"UBE2I"
"KIAA1632"
"MEGF6"
"HSPA13"
"PTPRN2"
"SLC7A6"
"PDGFB"
"EVC"
"GPATCH8"
"TMBIM6"
"AP2S1"
"KLF10"
"FLAD1"
"FAM20C"
"NKX2-2"
"ANAPC10"
"SNAPC4"
"ZNF605"
"MIA3"
"SIRT4"
"KIAA0754"
"MACF1"
"SCAND1"
"EFHD1"
"HK1"
"ZNF791"
"ZNF490"
"TSN"
"LRTOMT"
"C11orf59"
"ZMYM2"
"AURKAIP1"
"RNF207"
